from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
ALG,Algeria,SAW,Turkey,Airbus A330|Airbus A320,QR,[Qatar Airways],QR1380|QR1380,2022-04-30 15:20:00,2022-05-01 13:10:00,1190,1,843.0,USD,879000.0,379000.0,132%,2022-04-29 17:52:59
ALG,Algeria,SAW,Turkey,Airbus A330|Airbus A320,QR,[Qatar Airways],QR1380|QR1380,2022-04-30 15:20:00,2022-05-01 18:15:00,1495,1,847.0,USD,879000.0,379000.0,132%,2022-04-29 17:52:59
ALG,Algeria,SAW,Turkey,Airbus A320|Airbus A320,multi,[ITA| Pegasus],AZ803|AZ803,2022-05-02 04:25:00,2022-05-02 18:20:00,715,1,251.0,USD,310000.0,379000.0,-18%,2022-04-29 17:52:59
ALG,Algeria,SAW,Turkey,Airbus A330|Airbus A320,QR,[Qatar Airways],QR1380|QR1380,2022-05-02 15:20:00,2022-05-03 18:15:00,1495,1,3172.0,USD,879000.0,379000.0,132%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A320|Airbus A320,AF,[Air France],AF1855|AF1855,2022-04-30 12:45:00,2022-05-01 13:40:00,1375,1,344.0,USD,391000.0,379000.0,3%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321neo|Airbus A321,LH,[Lufthansa],LH1317|LH1317,2022-04-30 12:35:00,2022-04-30 21:15:00,400,1,437.0,USD,360000.0,379000.0,-4%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-04-30 13:15:00,2022-04-30 18:40:00,205,0,474.0,USD,243000.0,379000.0,-35%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330|Airbus A320,TU,[Tunisair],TU375|TU375,2022-05-02 15:05:00,2022-05-03 13:20:00,1215,1,259.0,USD,308000.0,379000.0,-18%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321,TK,[Turkish Airlines],TK652,2022-05-02 13:15:00,2022-05-02 18:40:00,205,0,474.0,USD,274000.0,379000.0,-27%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,AH,[Air Algerie],AH3016,2022-05-02 10:00:00,2022-05-02 15:15:00,195,0,523.0,USD,312000.0,379000.0,-17%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A320|Airbus A320,BA,[British Airways],BA2547|BA2547,2022-05-02 12:00:00,2022-05-02 23:55:00,595,1,425.0,USD,420000.0,379000.0,10%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321neo|Airbus A321neo,LH,[Lufthansa],LH1317|LH1317,2022-05-02 12:25:00,2022-05-02 21:15:00,410,1,437.0,USD,319000.0,379000.0,-15%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321neo|Airbus A320,LH,[Lufthansa],LH1317|LH1317,2022-05-02 12:25:00,2022-05-03 13:00:00,1355,1,462.0,USD,347000.0,379000.0,-8%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A320|Airbus A320,BA,[British Airways],BA2547|BA2547,2022-05-02 12:00:00,2022-05-04 00:30:00,2070,1,545.0,USD,420000.0,379000.0,10%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A320|Airbus A320neo,BA,[British Airways],BA2547|BA2547,2022-05-02 12:00:00,2022-05-03 19:05:00,1745,1,570.0,USD,385000.0,379000.0,1%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321neo|Airbus A320neo,LH,[Lufthansa],LH1317|LH1317,2022-05-02 12:25:00,2022-05-03 17:00:00,1595,1,593.0,USD,307000.0,379000.0,-18%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A320|Airbus A321neo,BA,[British Airways],BA2547|BA2547,2022-05-02 12:00:00,2022-05-03 16:50:00,1610,1,634.0,USD,395000.0,379000.0,4%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321neo|Airbus A318|Airbus A318,multi,[Lufthansa| TAROM],LH1317|LH1317|LH1317,2022-05-02 12:25:00,2022-05-03 09:50:00,1165,2,1306.0,USD,459000.0,379000.0,21%,2022-04-29 17:52:59
