date,route,fuel_consumption_kg
01/01/2019,Berlin-Dortmund,5498.69
01/01/2019,Berlin-Munich,5244.69
01/01/2019,Berlin-Frankfurt,5559.08
01/01/2019,Berlin-Stuttgart,5909.21
01/01/2019,Dortmund-Munich,5206.34
01/01/2019,Dortmund-Frankfurt,5206.35
01/01/2019,Dortmund-Stuttgart,5931.69
01/01/2019,Munich-Frankfurt,5606.97
01/01/2019,Munich-Stuttgart,5112.21
01/01/2019,Frankfurt-Stuttgart,5517.02
01/01/2019,Hamburg-Berlin,5114.63
01/01/2019,Hamburg-Frankfurt,5113.71
01/01/2019,Hamburg-Stuttgart,5396.78
01/01/2019,Hamburg-Munich,4534.69
01/01/2019,Cologne-Berlin,4610.03
01/01/2019,Cologne-Munich,5075.08
01/01/2019,Cologne-Frankfurt,4894.87
01/01/2019,Cologne-Stuttgart,5425.7
02/01/2019,Berlin-Dortmund,4936.79
02/01/2019,Berlin-Munich,4735.08
02/01/2019,Berlin-Frankfurt,5886.26
02/01/2019,Berlin-Stuttgart,5209.69
02/01/2019,Dortmund-Munich,5327.01
02/01/2019,Dortmund-Frankfurt,4730.1
02/01/2019,Dortmund-Stuttgart,5082.25
02/01/2019,Munich-Frankfurt,5344.37
02/01/2019,Munich-Stuttgart,4839.6
02/01/2019,Frankfurt-Stuttgart,5450.28
02/01/2019,Hamburg-Berlin,5059.74
02/01/2019,Hamburg-Frankfurt,5183.32
02/01/2019,Hamburg-Stuttgart,5059.32
02/01/2019,Hamburg-Munich,6040.91
02/01/2019,Cologne-Berlin,5294.6
02/01/2019,Cologne-Munich,4876.92
02/01/2019,Cologne-Frankfurt,5629.02
02/01/2019,Cologne-Stuttgart,4811.66
03/01/2019,Berlin-Dortmund,5383.55
03/01/2019,Berlin-Munich,4516.13
03/01/2019,Berlin-Frankfurt,4768.73
03/01/2019,Berlin-Stuttgart,5378.74
03/01/2019,Dortmund-Munich,5595.39
03/01/2019,Dortmund-Frankfurt,5368.55
03/01/2019,Dortmund-Stuttgart,5253.74
03/01/2019,Munich-Frankfurt,5179.56
03/01/2019,Munich-Stuttgart,4708.59
03/01/2019,Frankfurt-Stuttgart,5012.06
03/01/2019,Hamburg-Berlin,5115.74
03/01/2019,Hamburg-Frankfurt,5722.85
03/01/2019,Hamburg-Stuttgart,5437.45
